LngtClass,Year
3700,01/01/1993
3800,01/01/1993
7200,01/01/1993
3900,01/01/1993
4000,01/01/1993
4400,01/01/1993
4900,01/01/1993
5300,01/01/1993
6800,01/01/1993
2600,01/01/1993
2800,01/01/1993
3400,01/01/1993
3500,01/01/1993
3600,01/01/1993
3700,01/01/1993
4900,01/01/1993
5500,01/01/1993
6000,01/01/1993
6200,01/01/1993
6800,01/01/1993
3800,01/01/1993
3900,01/01/1993
4000,01/01/1993
4200,01/01/1993
4400,01/01/1993
4700,01/01/1993
4600,01/01/1993
2300,01/01/1993
3500,01/01/1993
3900,01/01/1993
4600,01/01/1993
5700,01/01/1993
7200,01/01/1993
3800,01/01/1993
3900,01/01/1993
4900,01/01/1993
5500,01/01/1993
5800,01/01/1993
7000,01/01/1993
2500,01/01/1993
3400,01/01/1993
4300,01/01/1993
4800,01/01/1993
6700,01/01/1993
7000,01/01/1993
2900,01/01/1993
2500,01/01/1993
2600,01/01/1993
2800,01/01/1993
4400,01/01/1993
4400,01/01/1993
6600,01/01/1993
4400,01/01/1993
5600,01/01/1993
2600,01/01/1993
6200,01/01/1993
3700,01/01/1993
4100,01/01/1993
5200,01/01/1993
6100,01/01/1993
2500,01/01/1993
5300,01/01/1993
6800,01/01/1993
4000,01/01/1993
4200,01/01/1993
3100,01/01/1993
2900,01/01/1993
3100,01/01/1993
5400,01/01/1993
4400,01/01/1993
2900,01/01/1993
2200,01/01/1993
2600,01/01/1993
2700,01/01/1993
2800,01/01/1993
2900,01/01/1993
3000,01/01/1993
3200,01/01/1993
3900,01/01/1993
5200,01/01/1993
4800,01/01/1993
4300,01/01/1993
5300,01/01/1993
3600,01/01/1993
7500,01/01/1993
5200,01/01/1993
1300,01/01/1993
3300,01/01/1993
7100,01/01/1993
3400,01/01/1993
4100,01/01/1993
2100,01/01/1993
6500,01/01/1993
6000,01/01/1993
1800,01/01/1993
2500,01/01/1993
2000,01/01/1993
3600,01/01/1993
3900,01/01/1993
4100,01/01/1993
1500,01/01/1993
1600,01/01/1993
1700,01/01/1993
1800,01/01/1993
1900,01/01/1993
2000,01/01/1993
2100,01/01/1993
2500,01/01/1993
2900,01/01/1993
3000,01/01/1993
3300,01/01/1993
3500,01/01/1993
1600,01/01/1993
1700,01/01/1993
1800,01/01/1993
1900,01/01/1993
2000,01/01/1993
2100,01/01/1993
2700,01/01/1993
2900,01/01/1993
3000,01/01/1993
3400,01/01/1993
2900,01/01/1993
3400,01/01/1993
4800,01/01/1993
